alpha3Code,gender,population,age
ROU,Female,653,100
RUS,Female,5821,100
RWA,Female,34,100
LCA,Female,59,100
VCT,Female,9,100
WSM,Female,7,100
STP,Female,1,100
SAU,Female,206,100
SEN,Female,6,100
SRB,Female,198,100
SYC,Female,6,100
SLE,Female,0,100
SGP,Female,630,100
SVK,Female,162,100
SVN,Female,156,100
SLB,Female,1,100
SOM,Female,24,100
ZAF,Female,887,100
KOR,Female,3351,100
SSD,Female,19,100
ESP,Female,9909,100
LKA,Female,595,100
SDN,Female,161,100
SUR,Female,17,100
SWZ,Female,3,100
SWE,Female,1809,100
CHE,Female,1362,100
SYR,Female,119,100
TJK,Female,182,100
TZA,Female,136,100
THA,Female,5027,100
TLS,Female,1,100
TGO,Female,0,100
TON,Female,5,100
TTO,Female,85,100
TUN,Female,173,100
TUR,Female,825,100
TKM,Female,55,100
UGA,Female,73,100
UKR,Female,1616,100
ARE,Female,18,100
GBR,Female,13758,100
USA,Female,61404,100
URY,Female,1327,100
UZB,Female,1183,100
VUT,Female,1,100
VEN,Female,4341,100
VNM,Female,23809,100
ESH,Female,1,100
YEM,Female,43,100
ZMB,Female,38,100
ZWE,Female,76,100
AFG,Female,504094,11
ALB,Female,14725,11
DZA,Female,376362,11
AGO,Female,439461,11
ATG,Female,806,11
ARG,Female,357299,11
ARM,Female,18727,11
ABW,Female,679,11
AUS,Female,156125,11
AUT,Female,39202,11
AZE,Female,63767,11
BHS,Female,2688,11
BHR,Female,9454,11
BGD,Female,1526532,11
BRB,Female,1814,11
BLR,Female,49747,11
BEL,Female,65392,11
BLZ,Female,3682,11
BEN,Female,147104,11
BTN,Female,7187,11
BOL,Female,113063,11
BIH,Female,16915,11
BWA,Female,22742,11
BRA,Female,1471755,11
VIR,Female,750,11
BRN,Female,3009,11
BGR,Female,35027,11
BFA,Female,268588,11
BDI,Female,149829,11
KHM,Female,160923,11
CMR,Female,322225,11
CAN,Female,201013,11
CPV,Female,5463,11
CAF,Female,64817,11
TCD,Female,214170,11
CHL,Female,123068,11
CHN,Female,7583429,11
COL,Female,381036,11
COM,Female,10020,11
COG,Female,70736,11
COD,Female,1145711,11
CRI,Female,35462,11
HRV,Female,21396,11
CUB,Female,56133,11
CYP,Female,6503,11
CZE,Female,56825,11
DNK,Female,33169,11
DJI,Female,9457,11
DOM,Female,103123,11
ECU,Female,153388,11
EGY,Female,927237,11
SLV,Female,56661,11
GNQ,Female,14243,11
ERI,Female,69153,11
EST,Female,7641,11
ETH,Female,1335793,11
FJI,Female,8557,11
FIN,Female,30579,11
FRA,Female,390053,11
GUF,Female,3060,11
PYF,Female,2074,11
GAB,Female,22408,11
GMB,Female,29072,11
GEO,Female,23672,11
DEU,Female,343640,11
GHA,Female,343523,11
GRC,Female,57209,11
GRD,Female,918,11
GLP,Female,2767,11
GUM,Female,1289,11
GTM,Female,187536,11
GIN,Female,168092,11
GNB,Female,24055,11
GUY,Female,7032,11
HTI,Female,117948,11
HND,Female,96919,11
HKG,Female,28326,11
HUN,Female,47595,11
ISL,Female,2263,11
IND,Female,12016155,11
IDN,Female,2299448,11
CIV,Female,316184,11
IRN,Female,639453,11
IRQ,Female,471584,11
IRL,Female,35021,11
ISR,Female,72211,11
ITA,Female,275910,11
JAM,Female,22070,11
JPN,Female,542290,11
JOR,Female,109364,11
KAZ,Female,158347,11
KEN,Female,658962,11
KIR,Female,1379,11
KWT,Female,27420,11
KGZ,Female,58198,11
LAO,Female,74067,11
LVA,Female,10589,11
LBN,Female,42097,11
LSO,Female,24609,11
LBR,Female,61617,11
LBY,Female,58001,11
LTU,Female,13489,11
LUX,Female,3081,11
MAC,Female,2218,11
MKD,Female,10834,11
MDG,Female,331665,11
MWI,Female,267650,11
MYS,Female,241173,11
MDV,Female,3057,11
MLI,Female,273477,11
MLT,Female,1913,11
MTQ,Female,2612,11
MRT,Female,54387,11
MUS,Female,7872,11
MYT,Female,3491,11
MEX,Female,1108636,11
FSM,Female,1094,11
MDA,Female,21126,11
MNG,Female,27263,11
MNE,Female,3804,11
MAR,Female,303601,11
MOZ,Female,414504,11
MMR,Female,480211,11
NAM,Female,28664,11
NPL,Female,309087,11
NLD,Female,90829,11
NCL,Female,1931,11
NZL,Female,31461,11
NIC,Female,58840,11
NER,Female,318338,11
NGA,Female,2534057,11
PRK,Female,167988,11
NOR,Female,31442,11
OMN,Female,30328,11
PAK,Female,2120825,11
PSE,Female,60229,11
PAN,Female,36045,11
PNG,Female,93862,11
PRY,Female,65523,11
PER,Female,282308,11
PHL,Female,1063030,11
POL,Female,198572,11
PRT,Female,48353,11
PRI,Female,22043,11
QAT,Female,11927,11
REU,Female,6648,11
ROU,Female,102633,11
RUS,Female,768705,11
RWA,Female,161681,11
LCA,Female,1077,11
VCT,Female,901,11
WSM,Female,2449,11
STP,Female,2806,11
SAU,Female,258032,11
SEN,Female,211128,11
SRB,Female,46733,11
SYC,Female,669,11
SLE,Female,102955,11
SGP,Female,29348,11
SVK,Female,27859,11
SVN,Female,10291,11
SLB,Female,7610,11
SOM,Female,207793,11
ZAF,Female,531835,11
KOR,Female,221458,11
SSD,Female,163287,11
ESP,Female,242899,11
LKA,Female,173430,11
SDN,Female,521517,11
SUR,Female,4749,11
SWZ,Female,16471,11
SWE,Female,57380,11
CHE,Female,39711,11
SYR,Female,236058,11
TJK,Female,96667,11
TZA,Female,795492,11
THA,Female,399745,11
TLS,Female,17862,11
TGO,Female,103746,11
TON,Female,1285,11
TTO,Female,9531,11
TUN,Female,82533,11
TUR,Female,657780,11
TKM,Female,50527,11
UGA,Female,629715,11
UKR,Female,233817,11
ARE,Female,43686,11
GBR,Female,388612,11
USA,Female,2065082,11
URY,Female,23799,11
UZB,Female,288427,11
VUT,Female,3206,11
VEN,Female,287516,11
VNM,Female,689815,11
ESH,Female,4865,11
YEM,Female,352708,11
ZMB,Female,237863,11
ZWE,Female,214912,11
AFG,Female,495856,12
ALB,Female,15170,12
DZA,Female,354890,12
AGO,Female,423972,12
ATG,Female,812,12
ARG,Female,356456,12
ARM,Female,18135,12
ABW,Female,690,12
AUS,Female,154004,12
AUT,Female,39380,12
AZE,Female,61649,12
BHS,Female,2625,12
BHR,Female,9143,12
BGD,Female,1540437,12
BRB,Female,1819,12
BLR,Female,48123,12
BEL,Female,64772,12
BLZ,Female,3723,12
BEN,Female,143107,12
BTN,Female,7170,12
BOL,Female,112683,12
BIH,Female,16818,12
BWA,Female,22369,12
BRA,Female,1492976,12
VIR,Female,738,12
BRN,Female,3047,12
BGR,Female,34332,12
BFA,Female,260382,12
BDI,Female,143313,12
KHM,Female,157332,12
CMR,Female,313211,12
CAN,Female,198470,12
CPV,Female,5476,12
CAF,Female,63818,12
TCD,Female,207726,12
CHL,Female,123310,12
CHN,Female,7499892,12
COL,Female,384788,12
COM,Female,9773,12
COG,Female,68380,12
COD,Female,1103372,12
CRI,Female,35400,12
HRV,Female,21059,12
CUB,Female,56423,12
CYP,Female,6519,12
CZE,Female,55266,12
DNK,Female,33272,12
DJI,Female,9492,12
DOM,Female,102768,12
ECU,Female,152116,12
EGY,Female,903265,12
SLV,Female,56848,12
GNQ,Female,13698,12
ERI,Female,67461,12
EST,Female,7435,12
ETH,Female,1323763,12
FJI,Female,8408,12
FIN,Female,30251,12
FRA,Female,390013,12
GUF,Female,3009,12
PYF,Female,2103,12
GAB,Female,21695,12
GMB,Female,28239,12
GEO,Female,22733,12
DEU,Female,346351,12
GHA,Female,334684,12
GRC,Female,56988,12
GRD,Female,900,12
GLP,Female,2831,12
GUM,Female,1301,12
GTM,Female,188317,12
GIN,Female,163739,12
GNB,Female,23315,12
GUY,Female,7112,12
HTI,Female,117087,12
HND,Female,97663,12
HKG,Female,27512,12
HUN,Female,47621,12
ISL,Female,2236,12
IND,Female,12042899,12
IDN,Female,2295540,12
CIV,Female,308478,12
IRN,Female,615446,12
IRQ,Female,457714,12
IRL,Female,34368,12
ISR,Female,70670,12
ITA,Female,277094,12
JAM,Female,22249,12
JPN,Female,544135,12
JOR,Female,107268,12
KAZ,Female,147660,12
KEN,Female,646365,12
